object_name,label_family,unresolved_reason,next_decisive_source_needed
UGC06667,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06667,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06667,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06667,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC06667,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07399,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07524,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,A/R mismatch,SPARC Rotmod does not provide approaching/receding side rotation curves or A/R mismatch values.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,H I asymmetry,SPARC Rotmod does not provide direct H I asymmetry map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,SFE/depletion,"SPARC Rotmod does not provide SFE, gas-depletion time, or same-object SFR/gas depletion measurement.",map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,Vrot/sigma,SPARC Rotmod gives Vobs rotation-curve points but no velocity-dispersion sigma component or Vrot/sigma ratio.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,burstiness,SPARC Rotmod does not provide time-resolved star-formation burstiness measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,centroid offset,SPARC Rotmod does not provide direct centroid offset map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,lopsidedness,SPARC Rotmod does not provide direct lopsidedness map-level measurement.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
UGC07603,warp / PA twist,SPARC Rotmod gives rotation-curve component rows but no PA twist or tilted-ring PA variation label.,map-level same-object H I/velocity-field or literature table with exact target-label semantics and provenance
