rank,query_alias,hit_index,source_system,source_id,title,year,venue,doi_or_url,abstract_or_notes,raw_cache_path,tier,score,candidate_for_gates,evidence_status,claim_boundary,acquisition_next_step
30,SIMBAD bibcode list,77,SIMBAD_bibcode,2014MNRAS.444,SIMBAD bibliography entry 2014MNRAS.444,2014.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2014MNRAS.444/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
31,SIMBAD bibcode list,78,SIMBAD_bibcode,2014MNRAS.444.3015L,SIMBAD bibliography entry 2014MNRAS.444.3015L,2014.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.3015L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
32,SIMBAD bibcode list,68,SIMBAD_bibcode,2015A&A...582A,SIMBAD bibliography entry 2015A&A...582A,2015.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2015A%26A...582A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
33,SIMBAD bibcode list,69,SIMBAD_bibcode,2015ApJS..217,SIMBAD bibliography entry 2015ApJS..217,2015.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2015ApJS..217/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
34,SIMBAD bibcode list,71,SIMBAD_bibcode,2015ApJS..219,SIMBAD bibliography entry 2015ApJS..219,2015.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2015ApJS..219/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
35,SIMBAD bibcode list,72,SIMBAD_bibcode,2015MNRAS.447.1531C,SIMBAD bibliography entry 2015MNRAS.447.1531C,2015.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2015MNRAS.447.1531C/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
36,SIMBAD bibcode list,73,SIMBAD_bibcode,2015MNRAS.454.3722S,SIMBAD bibliography entry 2015MNRAS.454.3722S,2015.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2015MNRAS.454.3722S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
37,SIMBAD bibcode list,63,SIMBAD_bibcode,2016A&A...595A,SIMBAD bibliography entry 2016A&A...595A,2016.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2016A%26A...595A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
38,SIMBAD bibcode list,64,SIMBAD_bibcode,2016AJ....152,SIMBAD bibliography entry 2016AJ....152,2016.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2016AJ....152/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
39,SIMBAD bibcode list,66,SIMBAD_bibcode,2016ApJ...816L,SIMBAD bibliography entry 2016ApJ...816L,2016.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2016ApJ...816L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
40,SIMBAD bibcode list,67,SIMBAD_bibcode,2016MNRAS.460.2143W,SIMBAD bibliography entry 2016MNRAS.460.2143W,2016.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.2143W/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
41,SIMBAD bibcode list,61,SIMBAD_bibcode,2017ApJ...837,SIMBAD bibliography entry 2017ApJ...837,2017.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2017ApJ...837/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
42,SIMBAD bibcode list,62,SIMBAD_bibcode,2017ApJ...843,SIMBAD bibliography entry 2017ApJ...843,2017.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2017ApJ...843/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
43,MCG+06-27-014,8,OpenAlex,https://doi.org/10.3847/1538-4365/aa96ad,BAT AGN Spectroscopic Survey. V. X-Ray Properties of the Swift/BAT 70-month AGN Catalog,2017.0,The Astrophysical Journal Supplement Series,https://doi.org/10.3847/1538-4365/aa96ad,"Abstract Hard X-ray (≥10 keV) observations of active galactic nuclei (AGNs) can shed light on some of the most obscured episodes of accretion onto supermassive black holes. The 70-month Swift /BAT all-sky survey, which probes the 14–195 keV energy range, has currently detected 838 AGNs. We report here on the broadband X-ray (0.3–150 keV) characteristics of these AGNs, obtained by combining XMM-Newton , Swift /XRT, ASCA , Chandra , and Suzaku observations in the soft X-ray band ( keV) with 70-month averaged Swift /BAT data. The nonblazar AGNs of our sample are almost equally divided into unobscured ( ) and obscured ( ) AGNs, and their Swift /BAT continuum is systematically steeper than the 0.3–10 keV emission, which suggests that the presence of a high-energy cutoff is almost ubiquitous. We discuss the main X-ray spectral parameters obtained, such as the photon index, the reflection parameter, the energy of the cutoff, neutral and ionized absorbers, and the soft excess for both obscured and unobscured AGNs.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_MCG_06_27_014.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
44,SIMBAD bibcode list,54,SIMBAD_bibcode,2018A&A...612L,SIMBAD bibliography entry 2018A&A...612L,2018.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2018A%26A...612L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
45,SIMBAD bibcode list,55,SIMBAD_bibcode,2018A&A...615A,SIMBAD bibliography entry 2018A&A...615A,2018.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2018A%26A...615A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
46,SIMBAD bibcode list,56,SIMBAD_bibcode,2018ApJ...864,SIMBAD bibliography entry 2018ApJ...864,2018.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2018ApJ...864/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
47,SIMBAD bibcode list,57,SIMBAD_bibcode,2018ApJS..234,SIMBAD bibliography entry 2018ApJS..234,2018.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2018ApJS..234/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
48,SIMBAD bibcode list,58,SIMBAD_bibcode,2018AstBu..73,SIMBAD bibliography entry 2018AstBu..73,2018.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2018AstBu..73/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
49,SIMBAD bibcode list,59,SIMBAD_bibcode,2018MNRAS.477.4187H,SIMBAD bibliography entry 2018MNRAS.477.4187H,2018.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.4187H/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
50,SIMBAD bibcode list,60,SIMBAD_bibcode,2018MNRAS.480.2292S,SIMBAD bibliography entry 2018MNRAS.480.2292S,2018.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.2292S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
51,UGC07125,2,OpenAlex,https://doi.org/10.1051/0004-6361/201732547,Fitting the radial acceleration relation to individual SPARC galaxies,2018.0,Astronomy and Astrophysics,https://doi.org/10.1051/0004-6361/201732547,"Galaxies follow a tight radial acceleration relation (RAR): the acceleration observed at every radius correlates with that expected from the distribution of baryons. We use the Markov chain Monte Carlo method to fit the mean RAR to 175 individual galaxies in the SPARC database, marginalizing over stellar mass-to-light ratio (ϒ ⋆ ), galaxy distance, and disk inclination. Acceptable fits with astrophysically reasonable parameters are found for the vast majority of galaxies. The residuals around these fits have an rms scatter of only 0.057 dex (~13%). This is in agreement with the predictions of modified Newtonian dynamics (MOND). We further consider a generalized version of the RAR that, unlike MOND, permits galaxy-to-galaxy variation in the critical acceleration scale. The fits are not improved with this additional freedom: there is no credible indication of variation in the critical acceleration scale. The data are consistent with the action of a single effective force law. The apparent universality of the acceleration scale and the small residual scatter are key to understanding galaxies.",/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
52,SIMBAD bibcode list,12,SIMBAD_bibcode,2019MNRAS.488,SIMBAD bibliography entry 2019MNRAS.488,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
53,SIMBAD bibcode list,46,SIMBAD_bibcode,2019A&A...623A,SIMBAD bibliography entry 2019A&A...623A,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019A%26A...623A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
54,SIMBAD bibcode list,47,SIMBAD_bibcode,2019A&A...626A,SIMBAD bibliography entry 2019A&A...626A,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019A%26A...626A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
55,SIMBAD bibcode list,48,SIMBAD_bibcode,2019ApJ...883L,SIMBAD bibliography entry 2019ApJ...883L,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019ApJ...883L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
56,SIMBAD bibcode list,49,SIMBAD_bibcode,2019ApJS..244,SIMBAD bibliography entry 2019ApJS..244,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019ApJS..244/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
57,SIMBAD bibcode list,50,SIMBAD_bibcode,2019MNRAS.482.5106L,SIMBAD bibliography entry 2019MNRAS.482.5106L,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.5106L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
58,SIMBAD bibcode list,51,SIMBAD_bibcode,2019MNRAS.486.1658C,SIMBAD bibliography entry 2019MNRAS.486.1658C,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.1658C/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
59,SIMBAD bibcode list,52,SIMBAD_bibcode,2019MNRAS.486.1995S,SIMBAD bibliography entry 2019MNRAS.486.1995S,2019.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.1995S/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
60,SIMBAD bibcode list,1,SIMBAD_bibcode,2020ApJ...902,SIMBAD bibliography entry 2020ApJ...902,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJ...902/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
61,SIMBAD bibcode list,33,SIMBAD_bibcode,2020A&A...633A,SIMBAD bibliography entry 2020A&A...633A,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020A%26A...633A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
62,SIMBAD bibcode list,34,SIMBAD_bibcode,2020ATel13909,SIMBAD bibliography entry 2020ATel13909,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13909/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
63,SIMBAD bibcode list,35,SIMBAD_bibcode,2020ATel13911,SIMBAD bibliography entry 2020ATel13911,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13911/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
64,SIMBAD bibcode list,36,SIMBAD_bibcode,2020ATel13912,SIMBAD bibliography entry 2020ATel13912,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13912/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
65,SIMBAD bibcode list,37,SIMBAD_bibcode,2020ATel13915,SIMBAD bibliography entry 2020ATel13915,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ATel13915/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
66,SIMBAD bibcode list,39,SIMBAD_bibcode,2020ApJ...904,SIMBAD bibliography entry 2020ApJ...904,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJ...904/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
67,SIMBAD bibcode list,40,SIMBAD_bibcode,2020ApJS..247,SIMBAD bibliography entry 2020ApJS..247,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020ApJS..247/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
68,SIMBAD bibcode list,41,SIMBAD_bibcode,2020MNRAS.492.4892Y,SIMBAD bibliography entry 2020MNRAS.492.4892Y,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.4892Y/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
69,SIMBAD bibcode list,42,SIMBAD_bibcode,2020MNRAS.494.1784A,SIMBAD bibliography entry 2020MNRAS.494.1784A,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.494.1784A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
70,SIMBAD bibcode list,43,SIMBAD_bibcode,2020MNRAS.494.2875M,SIMBAD bibliography entry 2020MNRAS.494.2875M,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.494.2875M/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
71,SIMBAD bibcode list,44,SIMBAD_bibcode,2020MNRAS.495,SIMBAD bibliography entry 2020MNRAS.495,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
72,SIMBAD bibcode list,45,SIMBAD_bibcode,2020MNRAS.495.3636M,SIMBAD bibliography entry 2020MNRAS.495.3636M,2020.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.3636M/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
73,UGC07125,0,OpenAlex,https://openalex.org/W3179269845,Spectroscopic classification of the bright NIR transient PGIR20eid/SN2020qmp as a young Type II supernova in UGC07125,2020.0,The astronomer's telegram,https://openalex.org/W3179269845,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
74,UGC07125,1,OpenAlex,https://openalex.org/W3127626738,Palomar Gattini-IR NIR discovery of a candidate young supernova PGIR20eid / AT2020qmp in UGC07125 at 12 Mpc,2020.0,The astronomer's telegram,https://openalex.org/W3127626738,,/home/jenholm/photonland/cghs/cghstc_34/data/external/m31_literature_audit/openalex_UGC07125.json,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
75,SIMBAD bibcode list,29,SIMBAD_bibcode,2021A&A...647A,SIMBAD bibliography entry 2021A&A...647A,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021A%26A...647A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
76,SIMBAD bibcode list,30,SIMBAD_bibcode,2021A&A...651L,SIMBAD bibliography entry 2021A&A...651L,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021A%26A...651L/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
77,SIMBAD bibcode list,31,SIMBAD_bibcode,2021ApJ...921,SIMBAD bibliography entry 2021ApJ...921,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021ApJ...921/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
78,SIMBAD bibcode list,32,SIMBAD_bibcode,2021MNRAS.502.5711N,SIMBAD bibliography entry 2021MNRAS.502.5711N,2021.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.5711N/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
79,SIMBAD bibcode list,25,SIMBAD_bibcode,2022A&A...660A,SIMBAD bibliography entry 2022A&A...660A,2022.0,SIMBAD bibliography,https://ui.adsabs.harvard.edu/abs/2022A%26A...660A/abstract,Bibliography/source-discovery hit only; title/evidence not extracted by M31 without ADS metadata API.,/home/jenholm/photonland/cghs/cghstc_34/data/external/m30_web_probe/UGC07125_simbad_ascii.txt,C,0,source_discovery_only,source_discovery_only,candidate source only; evidence not confirmed or extracted,Keep as discovery/provenance only unless another source points here.
